	|	V	VA	|	N	NA	NP	|	PR	RL	SM	|	J	JL	|	PAA	PAN	PAV	PNA	PNN	PNV	PVA	PVN	PVV	|	R	RA	RC	RQ	X	NGL	NGR	PS	PA	IJ	|	NUM	NUMV	NUMO	ORD	|	CLN	CLV	QFL	QFR	|	CD	CN	CV	|
สืบเนื่องมาจาก	|			|				|				|			|	1									|											|					|					|				|
สุดแต่	|			|				|				|			|	1									|											|					|					|				|
สำหรับ	|			|				|				|			|	1									|											|					|					|				|
สืบเนื่องจาก	|			|				|				|			|	1									|											|					|					|				|
เหมือน	|			|				|				|			|	1									|											|					|					|				|
เนื่องจาก	|			|				|				|			|	1									|											|					|					|				|
ตรงกันข้ามกับ	|			|				|				|			|	1									|											|					|					|				|
ตั้งแต่	|			|				|				|			|	1									|											|					|					|				|
นอกจาก	|			|				|				|			|	1									|											|					|					|				|
เฉพาะ	|			|				|				|			|	1									|											|					|					|				|
ตรง	|			|				|				|			|	1									|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
เพื่อการ	|			|				|				|			|			1							|											|					|					|				|
	|			|				|				|			|										|											|					|					|				|
