47 w= 21 d= 554 c= 1899 l= 35136 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0040 dp= 0 cp= 0 mlc= 428 mld= 538 mn= 911 ex= 23376 xn= 49 wv= 842 bu= 134 cu= 206 pu= 1167 vs= 9440 s= 0 / 1000
48 w= 4 d= 6 c= 9 l= 2 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 8 ex= 849 xn= 5 wv= 0 bu= 10 cu= 6 pu= 14 vs= 0 s= 0 / 1000
49 w= 18 d= 42 c= 96 l= 320 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 56 mld= 92 mn= 65 ex= 17393 xn= 28 wv= 85 bu= 56 cu= 60 pu= 114 vs= 5103 s= 240 / 1000
50 w= 40 d= 1911 c= 8632 l= 1204368 p= 16382 b= 1024 ch= 2048 tc=  0.0040 tb=  0.0160 dp= 0 cp= 0 mlc= 1945 mld= 2443 mn= 3375 ex= 33836 xn= 103 wv= 5734 bu= 779 cu= 1362 pu= 7621 vs= 28496 s= 0 / 1000
51 w= 11 d= 160 c= 413 l= 88 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 132 mld= 183 mn= 246 ex= 5883 xn= 31 wv= 87 bu= 58 cu= 66 pu= 261 vs= 3260 s= 0 / 1000
52 w= 32 d= 2805 c= 12650 l= 228256 p= 32764 b= 2048 ch= 3072 tc=  0.0080 tb=  0.0200 dp= 0 cp= 0 mlc= 5725 mld= 6813 mn= 4690 ex= 21287 xn= 70 wv= 10306 bu= 1600 cu= 2737 pu= 22351 vs= 60656 s= 988 / 1000
53 w= 36 d= 1714 c= 7519 l= 2332 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0200 dp= 0 cp= 0 mlc= 1931 mld= 2334 mn= 2866 ex= 18936 xn= 104 wv= 9633 bu= 362 cu= 481 pu= 8698 vs= 34400 s= 993 / 1000
54 w= 10 d= 43 c= 89 l= 88 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 63 ex= 12238 xn= 13 wv= 0 bu= 38 cu= 47 pu= 66 vs= 0 s= 0 / 1000
55 w= 19 d= 238 c= 809 l= 736 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 185 mld= 260 mn= 383 ex= 15813 xn= 53 wv= 279 bu= 85 cu= 93 pu= 429 vs= 6786 s= 0 / 1000
56 w= 32 d= 1403 c= 6621 l= 600 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0080 dp= 0 cp= 0 mlc= 816 mld= 993 mn= 2450 ex= 20043 xn= 100 wv= 2641 bu= 126 cu= 120 pu= 2823 vs= 24032 s= 300 / 1000
